run,condition,CF,a<sub>HSC</sub>,p<sub>HSC→MPP</sub>,p<sub>MPP→CMP</sub>,p<sub>CMP→GMP</sub>,p<sub>CMP→MEP</sub>,p<sub>MPP→MLP</sub>,p<sub>MEP→EP+</sub>,p<sub>EP+→EP-</sub>,p<sub>MPP→EP+</sub>,k<sub>MPP</sub>,d<sub>CMP</sub>,p<sub>GMP→M</sub>,d<sub>MEP</sub>,p<sub>MLP→M</sub>,d<sub>EP+</sub>,p<sub>EP-→M</sub>
124,K27M,194.95378398533884,0.044365991281369636,0.4003367042652837,3.9589960167981455,1.4237173121538553,1.7745779916295936,0.042091796850388975,3.149296238577099,0.5381248287126421,0.8330636681844886,3.8761074140845424,0.07894715983733187,1.4349414425400395,0.3578907701358885,0.057943306352541225,0.39174157193211234,1.6271009763414896
125,K27M,185.92248984209877,0.045059970074906044,0.4208497053052771,3.543519333847498,1.572939149802876,0.5126548510677693,0.06685604741466579,1.0248864582526733,0.5246205886480534,2.9059951198410583,5.1711252504743195,0.1588323876582062,2.2840262464322243,0.17250126173510663,0.10658608623038798,0.28388150406416535,1.5329621180596393
126,K27M,259.9913753933954,0.03986282902902194,0.4666060166088122,2.8593295466564257,1.0733558027448318,0.6934810353832546,0.06704865140945601,1.1793578853494546,0.3465559438250543,2.313992408383368,4.3109696233923325,0.4829439852222819,3.4728106178097553,2.4064101483454405,0.07661482272772499,0.8265040766199143,0.5544850453544363
127,K27M,228.09169738946034,0.045645866527705456,0.355143428841314,4.213952353863899,0.7934594926363616,1.1281821754004884,0.034191088259450934,6.7255470182440185,0.5089898351084461,2.51413846992498,5.824986398731971,0.7362341987413773,3.558246972205441,2.1089199196639594,0.026164454599820947,0.2419188747922456,2.2923182049399156
128,K27M,179.66921797024423,0.044989861131818853,0.41588743049076826,3.1062435725178106,0.8829949865473061,0.3918048885568536,0.025212882715752283,0.7528801240230383,0.752067679276762,3.767552415446511,5.596305671655994,0.548088753232504,1.0431931340678842,0.09265708957166967,0.01058411287642881,0.13485218167979734,2.479823237070681
129,K27M,243.4889417429029,0.04812930410554997,0.44573033586509975,2.451484710962792,0.33174882494910685,0.3351917604227488,0.03814919166272612,8.856282376128423,0.2500210943670528,4.786046575220981,5.1328796986707275,0.5268012126109317,0.3474940390871408,2.55647871523828,0.048470825079897,0.9193496440428265,0.7103212449094054
130,K27M,188.75623753221498,0.04483584707168011,0.44181905468814686,5.86548908359699,1.3275703465683475,0.8553182715399734,0.06951193385816218,1.6027210021267877,0.19666757356481382,1.3298236332533475,5.97056708918003,0.9381352614931716,2.932254004083387,1.3740410071324773,0.08172719749536604,0.2740871532806042,0.6950560903729225
131,K27M,204.387558088222,0.04558637142581945,0.4998346611504124,4.339631571571211,1.358075437806433,2.5835633788982046,0.027658096074515196,6.62145678584634,0.11743088109139935,0.28592890081149014,3.5328447680037147,0.9749848257699549,1.2647201674709145,0.43498557663122317,0.033521900489935044,0.5517772151111123,0.4164917011169719
132,K27M,177.09163197523935,0.044491650892861605,0.3813410688133118,4.071838361154017,0.4901380349940604,1.7237781242425765,0.02074474820123475,3.6207235347068214,0.6572850233067389,1.3837201563091246,4.384713216915789,0.04114830440834107,0.6356235898339264,1.611877620952058,0.006273035863979001,0.04719011740543523,2.237910797139262
133,K27M,177.08630970343205,0.04383227065947634,0.08815749663229414,3.931077921480042,0.6165007882591509,1.3469437000055824,0.0681621384558137,2.9256860375961673,0.4080905827271728,1.8518060746004463,5.63772826285321,0.08121168651038942,0.7655166708918265,1.1358138122514247,0.10167898522257036,0.3389531129668335,1.3281007923576138
134,K27M,177.17489436868254,0.04419824628766361,0.4948175596226163,3.992964449181775,0.8445426507380667,1.1310765095289552,0.06535194414184063,0.7620528690264372,0.20085522552232488,2.369502657981459,5.012256068874724,0.11670975627545015,1.0412973407975543,2.6378954632398233,0.09653909908635733,0.36882396201310613,0.6231118130696559
135,K27M,242.8899569837447,0.04249949693462615,0.358149514503576,5.5217546273027835,0.039867776654290144,1.332661273723414,0.06332118528385475,4.096913749184159,1.2001678515684024,0.8278259839172031,5.643008227068662,0.8381085828200356,0.5070875238425163,1.6483324970871736,0.08628685911995153,0.15608765533799396,1.9116404166042247
