run,condition,CF,a<sub>HSC</sub>,p<sub>HSC→MPP</sub>,p<sub>MPP→CMP</sub>,p<sub>CMP→GMP</sub>,p<sub>CMP→MEP</sub>,p<sub>MPP→MLP</sub>,p<sub>MEP→EP+</sub>,p<sub>EP+→EP-</sub>,p<sub>MPP→EP+</sub>,k<sub>MPP</sub>,d<sub>CMP</sub>,p<sub>GMP→M</sub>,d<sub>MEP</sub>,p<sub>MLP→M</sub>,d<sub>EP+</sub>,p<sub>EP-→M</sub>
34,WT,335.80861429987823,0.020174205203066908,0.4091327721659176,5.033741492049645,2.310628164274906,2.3683044509491733,0.08745122411594919,6.697366455053475,2.3538857114834864,0.09857280367205012,4.2277822282940525,0.12680877194307705,0.12568476495133118,2.6268469685507583,0.00896689932747561,1.492050301368403,0.42749716598358867
35,WT,343.86047279459314,0.012883856338542606,0.1905664980869925,4.983857531571104,0.46201247849297733,2.4262570737488325,0.021483020898645587,0.6586289970626145,0.3332883814388946,0.817783313229097,5.635693711899703,1.910443120543777,0.2772461332028094,2.512563516257874,0.09836876612008588,0.22863498337702248,1.644776715339609
36,WT,317.25910386458713,0.020321310658536648,0.47980210841211873,3.972120736337756,1.251827893928027,0.32785251290271944,0.0889036969742134,0.04894387637758779,1.7243207624062553,1.034703301410747,4.611792775293353,0.266852491609994,0.9317622993842717,2.4563163500576835,0.02912314870570626,0.8326112002513668,2.099342548334639
37,WT,356.5431439820835,0.025481876970279746,0.3869248720157673,4.081656934819984,0.2866644282203019,1.5979860821628005,0.04426270533139662,3.837354494832261,1.6264816642415105,2.2382348444691083,5.777879918905242,1.6218118006009639,0.600106611341749,0.13962130932176087,0.09923477531418964,1.714026438887274,0.45331688200134634
38,WT,333.1331142421485,0.011795154800376191,0.3319616660155241,2.64089224912292,0.21324257237374766,1.5880606292105597,0.021540921139720656,2.7687599202730926,0.5633543554259515,0.5395586761493187,3.0575940527235623,0.5671564764968804,1.3318975438920981,0.6042425583656905,0.04497951556990787,1.499975631255058,0.7380422321398439
39,WT,367.524583258714,0.00921871723403191,0.12376099333609036,2.7510573265243963,1.1447576070665955,0.9074868892036339,0.03213860887990623,4.322236275626459,2.5228703647021975,2.2058765616245766,4.860005480367647,0.6481267832383151,0.1417701789984276,2.0156907216882898,0.012804332172129552,1.438889431407477,1.1125786133674944
40,WT,390.42385119029126,0.007833565948976414,0.48648513261644544,2.5569267734873518,1.369831066633692,0.6930316218254742,0.06240497443150847,2.1100240889134754,0.2056712188628369,2.756838232998251,4.811655423742384,0.7989402034967545,1.322822737437634,2.855080164902675,0.05581994310442788,0.34989418904729686,0.6506068317744038
41,WT,343.9835374094378,0.0230776462830414,0.2784685583844897,5.255432908301893,3.5666376414450767,2.229641440088849,0.031960249809002514,5.627085526474804,1.1343778155128903,1.0498296041592496,5.6863926114458865,0.31640804696125713,0.5197167706937521,1.4933923850906117,0.01461860014555869,1.1779481268289675,0.16097475771899017
42,WT,330.4648780851589,0.01767759027619667,0.22857219605937637,3.6996947248775456,1.285796011864889,0.1545444759544008,0.018703814710920072,0.2472126622120676,1.6873647951269346,0.8915461154439,4.357068738443923,1.1923276401358593,0.2433636828445116,0.432285727921744,0.02860578936032933,1.1424424733512502,2.19758803121897
43,WT,346.73774771173623,0.017072287310496103,0.48284163674387104,3.0922375255320764,2.6174045873982807,3.2769888289458478,0.06023440151512714,2.300413569412665,0.8568004207526561,1.4455100031679753,3.7791030073329925,0.7112956327724564,0.18167335468022242,1.3578725261521116,0.014027566964167324,1.400567354034838,1.0909525668869315
44,WT,334.08941434067174,0.018469390238885657,0.02855262481969434,2.6103583539013844,3.406609533246454,3.4666301751514603,0.004409034091803515,5.015315844565435,2.3879759121252206,3.2159592310130707,5.823260843420208,1.1144923485447593,0.21318795930730366,0.6989351751324389,0.026645413848986797,0.9808087741311196,2.2171480609025447
45,WT,250.02074460447065,0.01685686056976682,0.39105645860624044,2.218981651097021,0.5101882935370334,0.449365416155774,0.08975202313517076,2.4653437888176715,1.1882491787648621,2.5530247253507627,4.548922129890612,0.15368352307086547,0.09766987656515175,1.1813975568136763,0.03461275998954614,0.7613525949323773,0.6404084135302364
46,WT,271.20602466305155,0.01770750996850707,0.4097842124329928,4.63093246362936,0.7544456846446803,1.633833578594933,0.09323100489159364,3.664253732499678,0.9057048912529733,0.026509976478341746,4.420538597577469,0.8382142014332059,1.360523975090808,0.006782502216590699,0.049982464648149295,0.7462095764917138,0.46928109875730145
47,WT,337.8331430466338,0.01589208126891679,0.21565608781358603,4.785917994488214,1.2044571597060107,3.969341474816516,0.09960318646849504,8.073866273707033,1.542425116268044,0.8396308842551066,5.397575117180943,1.4756252354213468,0.026532189241287307,1.934143911755172,0.05582894545370508,1.2165090931091327,2.806792809409869
48,WT,328.5729496931993,0.019751992442713424,0.2977173980947058,3.976186260777174,0.8145145501308608,2.2874435058960265,0.08682252963671792,8.388010072010534,1.478762907623261,1.1453432474489915,4.8308968143213855,0.4655762269660725,0.6249577379159512,1.6288212610390373,0.026125355342468737,1.9451450716676808,1.7585130325205978
49,WT,318.89089822173247,0.017716231658388037,0.18268596470748494,4.05010266294096,0.8234967186350524,3.5209062560429,0.07388047462822861,7.516827440383905,1.3464877811111502,0.07876562138029852,4.071645205174345,1.2002024737970896,0.8477418525870357,1.1553700392419053,0.04488406094945291,0.8876945668199161,1.538178595995773
50,WT,347.1317047536618,0.02402930851423909,0.4790762310850473,4.6787348682906105,3.046515842101532,3.9835515678342284,0.030703462605554163,9.010780864170702,2.6515638429582746,1.2319990740531743,5.04021476748316,0.9249965969233047,0.5825670985192575,0.021692876478568657,0.004133087513325256,0.5284464189057387,1.2283304392582817
51,WT,325.9359633091002,0.016552442761507788,0.3045670132926066,1.5789665089771727,0.03832152463495064,3.082626166534536,0.09333345074722126,4.760619593118182,1.1595448281806688,4.405264065936463,5.704998048216033,0.40196848971392485,1.2176305357153878,2.708068176175013,0.01707423293225724,0.7702442821498798,0.6644269270147007
52,WT,343.3943506294265,0.022600155074180416,0.4713080473135969,3.8499943226025293,1.4439015187622104,1.1279751503236417,0.0905330541515245,0.7211646024308838,0.5476110358110473,1.9209433428791196,5.24892209041634,1.1830613928540314,1.3645086291246726,2.147237321217113,0.09998926763219462,1.7727223046524854,1.3545189694416848
53,WT,348.9190371174725,0.019911359464326,0.3146677383278914,4.094614378678793,0.3898835418721533,0.5820384304603077,0.09473919147016635,3.6617274100551267,2.585156523018411,0.3566280933377306,4.185391456176644,1.7853613544053877,1.448955698092792,1.7281870346201067,0.051474877596692566,0.009643583127886157,2.982259436743345
