nb,run,a<sub>HSC</sub>,p<sub>HSC→MPP</sub>,p<sub>MPP→CMP</sub>,p<sub>CMP→GMP</sub>,p<sub>CMP→MEP</sub>,p<sub>MPP→MLP</sub>,p<sub>MEP→EP+</sub>,p<sub>EP+→EP-</sub>,k<sub>MPP</sub>,d<sub>CMP</sub>,p<sub>GMP→M</sub>,d<sub>MEP</sub>,p<sub>MLP→M</sub>,d<sub>EP+</sub>,p<sub>EP-→M</sub>
75,1,0.0071162096535901855,0.3953299957444446,5.8043025805691055,0.17597760237872326,1.789193451633871,0.053111647683800334,4.266369950530191,0.8959764687924182,5.528320386418449,1.0794662025512605,0.006614419426342735,0.3768812779870908,0.02068732006480509,0.301733846662486,0.6039423768242937
76,1,0.008465012059099537,0.39889717296449234,5.769896719190086,0.14172468431103727,1.6484870978139778,0.08277926938466695,4.245873140268198,0.8122719012259789,5.567830647715554,1.065639441928769,0.009968837890541274,0.3928919674943165,0.035002263103693546,0.3081526855456864,0.629206315116679
77,1,0.0005952891875527741,0.40157715099322794,5.710942530865858,0.13978698752427263,1.6616151322984587,0.07251307901542892,4.265539377749716,0.840109915723199,5.615024494216144,1.007809949973512,0.014621740689546792,0.3420388357352757,0.04746100987085892,0.2777119452377924,0.6509418601431027
78,1,0.005705052576981458,0.3797533507585293,5.779455570258846,0.09106105359232818,1.7077401739043632,0.06655134962836513,4.294946058438762,0.7826476846008903,5.567816849660457,1.0158406319351752,0.01636772397794961,0.2833571915977272,0.027206981088751185,0.33324469884083,0.7171957274497298
79,1,0.011024640668496151,0.31286754469564076,5.753731167543735,0.07629199536323844,1.7852736506487825,0.04202779495635511,4.322569675145319,0.7573896243079896,5.5720740791517445,1.0288650843219498,0.003466911307748657,0.2433483914561161,0.04085586389784608,0.28061155984134434,0.6940005639036286
80,1,0.01724378784196439,0.29129413873810744,5.751334410192828,0.07681759327849057,1.8793354747991882,0.05491578606824457,4.406761262708008,0.74270739986531,5.524901652104714,1.0312861260255572,0.011950671021181013,0.2173868383169091,0.017981943512889065,0.21775308414695543,0.6693967556302126
81,1,0.01692934226971788,0.23019140669556787,5.762197528633809,0.09634810851846193,1.775486015309689,0.0634215996245942,4.418925481702704,0.685452142154585,5.490729715740345,0.9861022130019211,0.00795962776798977,0.2011134246264613,0.047361833247233816,0.15085481094599165,0.6291379625265211
82,1,0.015113612682756123,0.2817928834408821,5.836167681877469,0.11834397656150099,1.8136560018655499,0.08170624137887465,4.405017828025551,0.6475152304067207,5.554581761884334,0.9563900826776486,7.128366754198698e-5,0.20668240972344276,0.004900680981850113,0.10778638088576563,0.6614443924686375
83,1,0.012929457548088335,0.29199488645996297,5.811290819369957,0.08934752612631314,1.733861102976987,0.09152016619936194,4.380108972352346,0.800236845752612,5.561097919958643,0.9803139576706293,0.012321035775490152,0.1714072871591892,0.07605120193309126,0.12617502763580124,0.6564671245169825
84,1,0.017927682527405186,0.26132559399671634,5.8219551503809255,0.08483357509724235,1.6517945502487885,0.08919676654675976,4.3027742588302,0.7250072291526886,5.582543450124659,0.9789100831181388,0.0045812764446625685,0.1268655721485726,0.043596846569273866,0.08684776634392403,0.6266278120184101
85,1,0.018086796449784854,0.3072245257386377,5.909090109206423,0.14581972037566965,1.731163392917386,0.05050651364719005,4.189342677026292,0.6851710633333565,5.528990246209848,1.0087247093749974,0.015234273305167972,0.09906744654994588,0.0032398614041779204,0.10362944673290765,0.6867263845774518
86,1,0.016215069569004797,0.33908110314655343,5.883802311147079,0.14158057192322418,1.8192609434421174,0.07012872682070535,4.23560392625111,0.6875247013903995,5.554608091145663,0.9359361794129789,0.024093960228689495,0.08593128250407218,0.0627883680497297,0.09213109476387597,0.6834963653314146
87,1,0.008956216971679502,0.4112480251849435,5.888899338502271,0.09594807809132352,1.7767344186895542,0.03351074416904163,4.2482961037078155,0.7132495204849053,5.62171632992604,0.9189539458594401,0.004104586317732699,0.16197388857263495,0.005043412657805254,0.09787317036918985,0.6827340563328238
88,1,0.00451420089319753,0.44018809659513125,5.929035068357361,0.1598715193424779,1.7853078899311505,0.06630924627013574,4.266496633300365,0.7426513008840749,5.7278251949845895,0.9794562175504267,0.012601698010587886,0.2164090468747492,0.04941808810525657,0.08416919198391032,0.7183668712011518
89,1,0.007539904997293828,0.44127317219724,5.920703812040327,0.13163508235892538,1.844964543304097,0.07347429657962168,4.26571978478283,0.7510036708562371,5.715126979230521,1.0350594926320733,0.006361653534783591,0.19712862974577156,0.0696685669850555,0.053271344594493286,0.7524286534363128
90,1,0.007444305223843942,0.39842419970305026,5.975996353033551,0.18412367865922524,1.8462129678834078,0.08175138734891517,4.236001440310367,0.7646137946612516,5.790444982242101,1.039021509886799,0.03435113543402178,0.15358954263764987,0.051693135697831266,0.0022450280268101115,0.7054581932805912
91,1,0.005396478625710154,0.3947982498742913,5.9715207483979755,0.1928916244702506,1.9082307648154524,0.0820956194920529,4.151581543371366,0.7915049280743333,5.721959447813121,1.0279609358385713,0.005739311378068097,0.11500331001633955,0.04773132460427128,0.024811989317238135,0.6912499105849866
92,1,0.012878559833023282,0.3795794317005742,5.948257646497937,0.15570969528860842,1.9057945356922457,0.0705227603280207,4.169786285775707,0.8047546082001438,5.635153697909986,1.0796776449383179,0.024007166261236036,0.2473873733918082,0.039343808483088404,0.04280899617229184,0.6821516038442224
