run,condition,CF,a<sub>HSC</sub>,p<sub>HSC→MPP</sub>,p<sub>MPP→CMP</sub>,p<sub>CMP→GMP</sub>,p<sub>CMP→MEP</sub>,p<sub>MPP→MLP</sub>,p<sub>MEP→EP+</sub>,p<sub>EP+→EP-</sub>,d<sub>MPP</sub>,d<sub>CMP</sub>,p<sub>GMP→M</sub>,d<sub>MEP</sub>,p<sub>MLP→M</sub>,d<sub>EP+</sub>,p<sub>EP-→M</sub>
31,K27M,177.97541024144027,0.04430541206349401,4.732850965497524,7.766133064182069,1.203425422201855,2.8452263031626073,0.07242111812512886,4.606759787754278,0.5485027231136089,5.645339466210342,0.15725179909119888,1.6810075875457526,3.90701294941275,0.12807174348705522,0.01568047729058482,1.7831211898675008
32,K27M,177.05305806745167,0.04347325835687227,3.8907270210085474,7.178248260406506,0.9389366066760917,2.677621908341119,0.05087796034091024,6.331362144498088,0.5085946338718726,3.5458218058941333,0.1184641604257251,1.1969450407050999,1.9717193088039453,0.07016648071121225,0.2826356845388975,1.7073131389065075
33,K27M,234.7769771143502,0.043781618052770824,4.387533545790656,6.471175972175314,1.5916567441217415,3.400315905475204,0.0450712132735397,5.194248771578687,1.0950996070276422,2.4191730749182656,1.092631053271949,2.442441130473439,3.7066614740512307,0.06242969063531493,0.3770460943444396,1.89150262089822
34,K27M,179.25192657416753,0.042654036386330106,4.458406322000493,6.603261569444907,1.4625947834695787,1.9407319544475798,0.08223624992203173,5.049249522940668,0.5773938715654937,4.761692916574689,0.030632788975219913,2.0144850952996642,0.39049455426821683,0.11742944486650211,0.15480658386859675,1.8492588211543541
35,K27M,177.65670984338283,0.043749506150473315,3.010713415443592,7.92667776053711,0.49582020932334175,3.0200391329983804,0.09743703503017026,8.036472923345471,1.0785085834270498,0.3988254968765594,0.5178905789881365,0.6880862615989417,1.3871363565519708,0.18122091478297164,0.0068444294332619905,3.4052753206158766
36,K27M,229.53675893867955,0.041647897531467595,4.203816356719228,5.7537407717679825,0.5536272271632059,4.496945911979365,0.04412703774888589,5.623446150044305,1.0216820777276494,1.7011146198641378,1.2451041218266998,0.5686725427042694,2.1684816199490706,0.10737901603417854,0.903937616960983,1.6677762330003727
37,K27M,229.73334739539223,0.04759419822540893,2.8862873345056377,5.488969987005143,1.8442277072917785,3.9150371918585773,0.07654990278670529,5.7411984894583545,0.6864236707888705,2.4911763694367464,1.2227873606442174,3.1460392571909845,1.2045313400436957,0.13722547260697077,0.11136781946024706,2.892626155866349
38,K27M,183.8639628766834,0.04421153784736738,5.371726054826918,7.304701155266373,1.6307813834416027,2.814962992420034,0.041843868431473134,7.851079415611782,0.9847248578496748,5.25807467013538,0.1543228246622501,2.218713961267503,0.869222976591292,0.06711134342878985,0.18109213622393122,3.1428465857036545
39,K27M,180.23409869333906,0.0425514830338215,3.3777319136224633,7.557196215558988,2.0335862899060735,2.661262566802564,0.07966950490927173,5.761388052124528,0.50696800377532,0.3175856520654291,0.1771759352647546,2.3854136438721807,1.7089887056809385,0.16184619262186495,0.13969116366712456,1.7913029583251538
40,K27M,179.79276983984238,0.04393615797282346,4.784639259231053,7.539301861900865,1.3901929616182085,3.512240140993132,0.08143040130387208,7.181229325816179,0.28523148550698185,4.88544523602893,0.11019954542970038,1.6446514667708627,1.3530183502345874,0.1535747448333641,0.7794367154296422,0.8886715601541566
