run,condition,CF,a<sub>HSC1</sub>,p<sub>HSC1→MPP</sub>,a<sub>HSC2</sub>,p<sub>HSC2→MPP</sub>,p<sub>MPP→CMP</sub>,p<sub>CMP→GMP</sub>,p<sub>CMP→MEP</sub>,p<sub>MPP→MLP</sub>,p<sub>MEP→EP+</sub>,p<sub>EP+→EP-</sub>,k<sub>MPP</sub>,d<sub>CMP</sub>,p<sub>GMP→M</sub>,d<sub>MEP</sub>,p<sub>MLP→M</sub>,d<sub>EP+</sub>,p<sub>EP-→M</sub>,r<sub>HSC1→HSC2</sub>,r<sub>HSC2→HSC1</sub>
94,WT,252.26744118520548,0.00012323286211055924,0.4176336278110984,0.02124508446930089,0.3479697985599909,4.894947623474775,0.3051883784396142,1.1583891653560985,0.09798230276462667,2.9139643645585163,0.42114205932483373,4.573615915753703,0.04999558692260585,0.04327157504102017,1.5540204090440002,0.027449781806555287,0.2935350935598152,0.27499244660605077,0.0010016464210143624,0.004429283266976957
95,WT,252.08563403967244,0.002474891416450597,0.4853976014008711,0.020946689000562776,0.49481787406835265,5.624362335465544,0.32305204704762946,1.559913314677969,0.0925759857284781,4.750240702426011,0.9121231624427086,5.18200879834662,0.045778486536717254,0.04499478937844431,0.46636563968104017,0.027673000619933955,0.4184858110704769,0.6544359137619468,0.003008303415470192,0.0031927788851663017
96,WT,253.7253323367362,0.0007964450362814074,0.002997366558638786,0.01350341855009569,0.4500370112118859,6.041998496676614,0.2994963706248926,1.6884321732535936,0.084014035495544,5.044523662361698,0.7127531591696541,5.812057653853284,0.20138247260631686,0.035169865251788744,0.3186586750118222,0.027455432371919813,0.71038625704871,0.5350759864507764,0.013175943536086311,0.004038713897391358
97,WT,262.35412612676424,0.0019785037827526743,0.4350944369807159,0.006155159207683227,0.4689916423884653,4.675490074777771,0.5246030090336521,1.3953317448871476,0.08270487450067218,4.181300368515235,0.5912719024848047,4.354648948859226,0.139924824877869,0.10449803991202317,0.0009461801730132335,0.04586084399754244,0.329710433292143,0.4827590006550323,0.02381275796178733,0.002975763321258872
98,WT,267.84451982681867,0.006601501124222836,0.2780791405429924,0.02125522615477806,0.3950478999540241,5.289931346440003,0.443344107593323,1.9485399025537464,0.0419777077952327,4.763802688529924,0.8895774072091985,4.9298123332406805,0.28613036080954884,0.05307161495730186,0.26848572857827063,0.02045330906624015,0.71512998747375,0.652876377402452,0.0033672124698907687,0.002272159132773264
99,WT,260.53857355782793,0.007082989568761714,0.3153151894251491,0.0018880330407084049,0.3799569810638188,5.283781610880652,0.888183103699364,1.3696171625018616,0.02148076362445225,3.5688185789400597,0.4309237965127291,4.974062358264741,0.07000584374714353,0.1461037952995896,0.42204399648979773,0.006220294612312792,0.711705078693433,0.2886960660941006,0.02996939189249835,0.0009741339974805376
100,WT,387.81751002077556,0.007301701082300149,0.37210641519169296,0.0109265051960744,0.4322740742236132,4.526206760493398,0.25571333607225455,1.5563359378532695,0.00533133888931428,7.189670623490848,1.0168624944620273,3.7885450777311585,0.7561690204834655,1.1442123780794171,1.4715519837953424,0.03566876576567231,1.8337180896796337,0.1693216278007963,0.020466681138226774,0.0034735790995195034
101,WT,282.6381160159925,0.007509365577337391,0.405615038958957,0.017004575313527562,0.3863207736667514,5.0516366802283565,2.0895251822038285,2.4174113823567254,0.08204639045679961,3.7211033152833313,0.8023595328820633,4.791834299495191,1.0952367468934847,0.13330355572476482,0.34488113877871646,0.043177544334706885,0.1945028898857808,0.3061527226472966,0.008024354416194689,0.00024508325784108133
102,WT,251.9990703291309,0.000965155730296025,0.45693738689046604,0.021490706036089827,0.3985210323639247,6.279675611232262,0.7894145365218511,1.5077034198543346,0.09587910994808106,4.396619796169316,0.8769703458448596,5.970833853985177,0.10710573301802374,0.1242807314617403,0.6474605502362984,0.03731266613759746,0.21302845234027737,0.6361318828242355,0.00105201436904633,0.0033328152374079985
103,WT,393.33544754862885,0.00947427661494206,0.43541406470284505,0.0039875809300512445,0.31193731466903274,6.513196760942616,1.546663572253859,1.3112224304036877,0.05195539738510817,7.516907257651019,1.7862638463600213,5.969195184624967,0.21619096909189306,1.1661835868001753,0.7416386887814701,0.08658324177437933,1.2391138766579588,1.1000948778268262,0.025146821828229984,0.004102109742744494
104,WT,402.50403615998897,0.003355426414684396,0.47831494985875417,0.016152096760525418,0.20990442511807467,5.749955785020207,2.677963821649369,0.049777361780440454,0.06451398681931989,7.886908867698445,1.3770390204801786,5.460104699553119,0.368427778232996,0.9559133441550498,1.368499183737534,0.038327851399879403,0.37007133537772396,1.3492566220942377,0.018777283688584355,0.005590052024116181
105,WT,255.9965494606233,0.0023918282892366207,0.35272832224409606,0.008361101288620873,0.42800273982938336,6.037919985295932,1.2330745414540933,0.943445914699094,0.08154064425908444,2.453614669260212,0.70301238678555,5.682233116228905,0.10945922909023359,0.21460032366031273,0.3091448769786452,0.023702569971577245,0.014583945530416677,0.5525024115406575,0.02517447172510455,0.0019156041966989035
106,WT,260.9150081115582,0.0011206224286455233,0.3203067996022,0.008867368284123971,0.4345271504446924,6.2377554902849015,0.5043081158094618,1.783308396440503,0.06573272883351831,4.512638486666122,1.720509351536078,5.866675001572551,0.11103867693804487,0.08480147154040489,0.1690116164524815,0.028086406509759947,0.04423027338320012,0.8509594196913711,0.02341658546262459,0.0022212883284694323
107,WT,285.10294693671534,0.00834002851277402,0.22299017623894463,0.01681213293563036,0.2006540984772572,5.644949592707583,1.313373428071459,2.495097828656001,0.05498163164310706,6.809200901121457,1.781457109546964,5.548872923183729,0.2284749100784259,0.14953659855014348,0.4474840588045463,0.01711501289454099,1.3550839115756026,0.609105482544506,0.005328002372952002,0.0029173809999319253
108,WT,275.80829882232354,0.002267532699005986,0.46581071561923654,0.022039698712074098,0.49843002798803476,6.0710230023544165,1.1863345149918236,2.817533445192936,0.05274544860613756,9.225471486255874,0.5344947018014337,5.732775972299076,0.13475431882095484,0.10538173888746113,0.7561273844309473,0.024689305165374677,1.4464710506608232,0.38639206885345717,0.0022111999851013174,0.0035435454002266196
109,WT,310.10846668433965,0.0013116497727154747,0.4122665298023594,0.020053838691115992,0.4041682708519628,4.193133569481784,0.9948422217924792,2.529961513136713,0.03492923964302923,5.2585046407588205,0.8302425313453792,3.937837545261826,0.9962506010836799,0.126758282429741,1.423945010464953,0.0298081919604066,0.47185501129644414,1.1079889617952663,0.00585079046237226,0.003736083237680844
110,WT,351.3673668354535,0.0017061900366381602,0.47423731504358485,0.018904093001646635,0.03215515824783639,3.9144057066387443,0.7840381622326333,0.1973406490319225,0.047873654569972356,6.526839005695546,1.5875230068842068,3.743859161246723,0.034157807452764866,0.9787406281244775,0.05956081439618022,0.023844846004517816,1.64264679325919,0.07619582876588377,0.0005589885778328769,0.00604673266299096
111,WT,338.57721126553497,0.010735513918761307,0.1953058819873543,0.0018834621349652291,0.49166271731888694,4.0119839097493655,1.053167053077031,2.703757308559392,0.04621332249985511,5.906707406908488,1.4384624833028656,3.7616070103319723,0.3710077067306846,0.45172334281355,1.7965625361266784,0.09522689173671697,0.19914231718365621,0.8235442508556409,0.030187697560321785,0.000759854217384041
112,WT,268.19234190507717,0.005831319034777915,0.45191803376635725,0.01230056745958912,0.4009595479272521,5.253260161980943,0.7777840238309643,1.3392171501312953,0.07505540145745357,4.251446242955198,1.2421955633679584,5.028880219264927,0.37867632655776334,0.11663280426991243,0.35628595347228276,0.04728480394817318,0.14290215335371187,0.8801299394122024,0.00857140884721965,0.0015138453084024238
113,WT,288.0848051535303,0.0016697552820247093,0.4193132569118603,0.009641232338332148,0.4664474259133099,4.85501128442196,1.1630188812864732,3.503731700361154,0.07703967162563741,3.964797960880381,0.7771205299553845,4.56205469584966,0.7376916065172342,0.17497967437645623,1.292137390386451,0.04971512078034165,0.13089911116798217,0.7253808635239901,0.025386196482956487,0.0022936412842296913
114,WT,264.6914343957319,0.0020985485848642317,0.46020922851055557,0.003972315853819221,0.3057061243814674,4.909087147929338,1.0392310647504892,1.3626865771372927,0.03422719775380071,3.2014914069949847,0.4718698144123118,4.583076002120123,0.3675979277864234,0.12411215847229015,0.25702253576397466,0.007205913997879013,0.25702563201033335,0.2711991028757333,0.028978787050090937,0.0033557166238023543
115,WT,303.695668000337,0.005056923302741044,0.08252113086711349,0.008084393349559266,0.3979796509541613,5.751798277916776,1.3043595985392065,1.3454374456843807,0.042638613568403136,5.656747711154494,0.801242170307948,5.545260211703781,0.4805990599355746,0.38198463182467784,0.7862320198618087,0.05731952121000662,1.536450441432096,0.31073792282148677,0.02872796430993088,0.0023629699468767137
116,WT,252.26228981135316,0.0020040955522427854,0.3510766056206015,0.021398550056713213,0.3226545442664458,5.782400001512997,0.5372807562283206,1.2734766912197504,0.06429565424782241,3.958654802399515,0.5433230478732869,5.516104951332457,0.16328508673234315,0.086860640944198,0.279711965731617,0.017692604225562694,0.7119397192230891,0.3527636732798121,0.0012905689026888475,0.002817689097872017
117,WT,271.0391125541335,0.004082831765464777,0.32795367872130476,0.01974631471401021,0.45492753406816455,6.386768469915163,0.418266655109484,1.7475088636000038,0.0369537145490463,7.189136464952755,1.684288671888158,5.982557085845963,0.2844055524351636,0.06572014940802871,1.2417432487928626,0.013157771950823014,0.9123178309968009,0.9031294565980029,0.005276580240546424,0.0035593081939693776
118,WT,298.08507963995885,0.004702694367111158,0.3304415476329452,0.010269304363059862,0.20846016852136326,6.127452487322643,3.1585294402660735,1.302067852239673,0.03802801598237242,3.5567332556508395,1.2949976092016404,5.960075808058047,0.1537543505954727,0.6304537089994188,0.15381013499635102,0.010645164209203526,0.4209199944251592,0.295117156553929,0.019104040422411636,0.005172843192256595
119,WT,382.6423168359107,0.0026988386000387143,0.27951447349260705,0.01861357617339738,0.30284862914233524,1.3675497566934733,2.3694607049908285,3.558012877651412,0.05269558800429826,6.915356390821559,2.0129698073527673,1.0925641756567812,0.012270000769049716,0.22605840777714892,0.3461024079462926,0.04072941579078733,0.07957738568312589,0.1280961320736589,0.0092360455268846,0.0033871430661118846
