nb,run,a<sub>HSC1</sub>,p<sub>HSC1→MPP</sub>,a<sub>HSC2</sub>,p<sub>HSC2→MPP</sub>,p<sub>MPP→CMP</sub>,p<sub>CMP→GMP</sub>,p<sub>CMP→MEP</sub>,p<sub>MPP→MLP</sub>,p<sub>MEP→EP+</sub>,p<sub>EP+→EP-</sub>,k<sub>MPP</sub>,d<sub>CMP</sub>,p<sub>GMP→M</sub>,d<sub>MEP</sub>,p<sub>MLP→M</sub>,d<sub>EP+</sub>,p<sub>EP-→M</sub>,r<sub>HSC1→HSC2</sub>,r<sub>HSC2→HSC1</sub>
158,1,0.016076986393719423,0.10432682120849439,0.03552018617684505,0.07921330304665997,4.426321722667265,0.032011112461789025,2.353400838326432,0.01368890414918329,6.826658806684319,0.9660108613339629,4.289813298378721,0.3117530307068648,0.009923786515238415,0.16722433919897509,0.15765176661960742,0.440140657754623,1.7732998587063498,0.00377166992042076,0.058972865062458094
159,1,0.02128071524706457,0.04675355170642646,0.02068705245258128,0.06932978734251458,4.406400833292893,0.03240109592132343,2.3507249970297908,0.017912063119104142,6.744914171351888,0.9803547946153275,4.324573332161047,0.26941159687113775,0.00997474139216945,0.12550136408848742,0.1938992089101747,0.38298710331158486,1.830807561519921,0.01278612178817602,0.055177803823181354
160,1,0.030752253887628585,0.07585337672736749,0.009880964709456135,0.15914545864583407,4.373277121938499,0.03762404306790992,2.3724458472094736,0.04337018682247498,6.728384357124801,1.0113238027001792,4.189380859130228,0.1704501352687833,0.008676916683353172,0.11592936374814222,0.16760469391393168,0.41628242867596776,1.83836497314314,0.02941007962818443,0.01231517019774062
161,1,0.027850433195446892,0.1217063617120284,0.02950214300484019,0.12857595740790262,4.433657353091405,0.03223886741166659,2.4087531846761503,0.06628436791046269,6.706084920771505,1.0525502536881,4.229145959506781,0.1807077137040335,0.006771853221246031,0.09146701966795409,0.14666714700536637,0.5100955767326594,1.9058809109417836,0.01983184816732214,0.01078938282525797
162,1,0.026331768118702043,0.21236843799533117,0.044484358853990554,0.12988483615692256,4.408032175868535,0.052680517944265245,2.369251390181735,0.06766786688704979,6.699109677635824,1.023043973006617,4.194581005600338,0.15781480423074315,0.00800598009025182,0.0731781104590091,0.11569372392168063,0.477058560267015,1.9000648607369066,0.0009532746447669177,0.014106183319335703
163,1,0.01463635696691739,0.2272364037499755,0.03801766719054474,0.10080083322647683,4.425133193621353,0.028244795189996258,2.3811600987526624,0.029750371982431027,6.690857487045614,0.9398760304245097,4.186098625261165,0.16806362086177756,0.0005902587663291161,0.06680757554302047,0.01532959613462224,0.49853022093233224,1.895613194788038,0.0002065842602975961,0.0715995864126028
164,1,0.009277360658695012,0.23386155682220403,0.019551778087310925,0.040972908214778926,4.420659316782136,0.011993040275393585,2.437818878310604,0.049811205151061515,6.731695454543689,1.0304744272187614,4.090455869922877,0.2243450929920928,0.0009930135672256426,0.04639947212384317,0.02477363081345256,0.5274792887400519,1.9247206965864592,0.02376914108338136,0.03882657247894102
165,1,0.003938233735809241,0.2730697909720529,0.03808143771439814,0.015884961241976858,4.468675220588732,0.01665093133319309,2.454194412970859,0.019084035704565537,6.730592559049465,1.0742465722092192,4.133833903034205,0.21632233573855927,0.0058201005208183805,0.011956584148674471,0.09019493193759331,0.5115860666673623,1.9712137438995752,0.007836230789979701,0.06717085003989917
166,1,0.02084285224904383,0.29788851414239925,0.013668447476235052,0.039662914297074574,4.483541941280368,0.010927084182431419,2.365013126247579,0.015785378461744055,6.749168738070126,1.0008683529298743,4.167806384123984,0.24866503361968112,0.0024368181617845084,0.012875074850136331,0.03925172881495911,0.47801689175307505,1.9140601709233365,0.011786886072926649,0.04402836866045041
167,1,0.03307303724256027,0.21921033910150103,0.006970905249224075,0.025874614945737787,4.491944930056995,0.03621718669769553,2.410328559855192,0.026810810059045252,6.799953483662142,1.0541566960377797,4.209153456425259,0.26839452314052503,0.004851710536279258,0.03530297148929724,0.004952118746121062,0.5052092034717236,1.8351959100555135,0.011525246560895111,0.033332090432247136
168,1,0.03125425691820241,0.2560998084397352,0.013150301439548342,0.07048380626628954,4.546508919900232,0.01662692384172016,2.4101932627446345,0.03231732530873798,6.76561016759458,1.1336661504060759,4.2639495256465425,0.26132899318867203,0.006766588796656324,0.04083086787830322,0.10576884296166629,0.5447336584256528,1.776003975126368,0.02941501561565068,0.004252725339818701
169,1,0.03899761657846798,0.3017222801600385,0.046969048248863284,0.07162472053778418,4.532560091203522,0.025973122167063958,2.402914890046645,0.0587112355647879,6.811270692611703,1.0743729027852702,4.1839219064510065,0.2217814017530295,0.0028555166683956056,0.036546568579018265,0.09050516593824112,0.486501121126953,1.8654398740217848,0.002323909150759848,0.0024809749389668122
170,1,0.020091970751774078,0.27421235701659047,0.03243142981483422,0.12690584920073378,4.614475710315918,0.03742646130059998,2.398247288131023,0.013732224149176431,6.694859650637296,1.0491417540037618,4.173674046359926,0.26037605474299697,0.003971576458920093,0.003040834850222419,0.057976562685372914,0.4491004265868129,2.0371331153285768,0.012643569398066636,0.023934018016142096
171,1,0.0033178325349026926,0.3024427344626038,0.02538867607686799,0.13981554283877257,4.606133786853749,0.038205005397083484,2.3608255578673165,0.03573622116622915,6.65493091931574,1.1768300298647774,4.1701009300047955,0.27635800219911966,0.005804960648564958,0.12182668230120029,0.004702879021766991,0.4245277343427529,1.9594693092474473,0.012446458090809182,0.06930889053869108
172,1,0.019322506829984896,0.3191999883858428,0.023826742139078212,0.11791106880755138,4.4906410786113256,0.02934601094124214,2.389870028242871,0.06427324424174505,6.6650334113635195,1.2864689757506134,4.191990270211027,0.26611969883909664,0.007643020322335252,0.10591907401035312,0.06875636334749517,0.36909317647177886,1.9404138255582635,0.010843672689842612,0.031496271190150145
