run,condition,CF,a<sub>HSC</sub>,p<sub>HSC→MPP</sub>,p<sub>MPP→CMP</sub>,p<sub>CMP→GMP</sub>,p<sub>CMP→MEP</sub>,p<sub>MPP→MLP</sub>,p<sub>MEP→EP+</sub>,p<sub>EP+→EP-</sub>,p<sub>MPP→EP+</sub>,d<sub>MPP</sub>,d<sub>CMP</sub>,p<sub>GMP→M</sub>,d<sub>MEP</sub>,p<sub>MLP→M</sub>,d<sub>EP+</sub>,p<sub>EP-→M</sub>
85,K27M,178.45527244293254,0.04372113922205741,7.279698640662666,9.519164677947883,1.0837987663129787,3.6380129002193704,0.08188562609620563,9.806252626737841,0.9431722804362838,5.50469439117737,4.2288037373348955,0.9355958534680767,1.463034258217971,1.0510477161909721,0.1546025264423962,1.6766907720721747,3.0419429539249747
86,K27M,187.50043199638748,0.04602409470147266,3.8180269732734184,9.654844172942584,1.886749880703315,2.8369226077321215,0.048631647206775416,6.256139235476838,0.6871207832810152,1.6842229244275961,2.5111351127426884,0.5333230774206452,2.8870571268251335,3.510451147806016,0.08211443723251499,0.34305391250330286,2.344488525635713
87,K27M,217.64665043627647,0.048307622724622676,4.05744873839811,9.25437757067472,1.445807398309477,2.6278845926702448,0.04661994176883727,4.7084699749192716,0.8730080628617908,3.130853253225336,5.0582974872207345,0.7478220900539776,1.342865719999467,4.3606988635536394,0.1764306964398072,0.05911766605594648,3.665715326348881
88,K27M,177.52410828579443,0.044183898936811926,7.127555921301783,9.849320412505216,0.5541657128244434,3.76188251812462,0.05240637504127,6.743648846510719,1.0211108161204507,5.4442788990402455,5.257767962558202,1.3574984272226438,0.690882670115204,3.9777993502034668,0.0702308447005533,0.9393407435661182,3.6474582079544153
89,K27M,181.55616717626287,0.04117732078522426,7.513504597676556,7.565489093066949,1.224008947061456,2.0888312649436855,0.08939495588268685,6.244507716345582,0.6727752778249159,5.070654645660369,3.737318434230394,0.6564534508923744,1.9652619676059988,0.9650334404192297,0.1675682759437852,1.1215127365243795,2.394246881344024
90,K27M,218.41742841981545,0.04284954960090823,7.080302984152405,5.665849251745518,2.814710441435003,1.3292157790151107,0.0824488315176555,1.6254418874947194,0.6901537231988072,4.943180713669925,2.5040423672981387,0.9277697911032954,2.1184090421832416,1.7338368520236047,0.13795208613462656,1.4216946846864906,1.5043829816911982
91,K27M,179.39133023222078,0.04390736056011092,3.915569551121067,4.957449766138305,0.2609056983652099,1.7554891947001208,0.07114456017348161,4.979173929244152,0.3538423863739203,3.1070280587637957,1.7829007578028,0.8971886765996032,0.29554340499438536,0.9534158854541566,0.142999645383211,1.0121781742713494,1.1705167112114783
92,K27M,180.3081230841408,0.043540995066530336,6.4589242503609725,9.123828022503774,2.071745483684531,3.2763469657259474,0.019590461841781093,8.654820300290583,1.2467849109573355,4.327504609117369,3.9871725490748258,0.07705894351710722,2.8764128456689098,2.5015998377645947,0.004169461836862722,0.5946557228779357,3.910659330891715
93,K27M,179.61517988866927,0.04400323603631396,6.287404848681819,8.344606586510245,1.1728923507228277,1.570293322561666,0.08496791920127253,2.9823729530671605,0.8926633741480922,5.584803110628881,4.481674899525257,1.4164951837364719,1.7842640363449593,2.6820888624730275,0.14915557277236116,0.7693200642195663,2.6799816834837786
94,K27M,212.8248262485326,0.039586897787307694,7.517997891450108,8.57897198900134,2.692708729736017,2.9326129198886006,0.07284068034988724,6.099887408401273,0.7069016464981659,5.750306091915838,5.667124420575627,0.1894991534887902,3.1476201754188198,0.6264374755479449,0.12860977795695672,0.9399740715958966,1.9752487301253057
