run,condition,CF,a<sub>HSC1</sub>,p<sub>HSC1→MPP</sub>,a<sub>HSC2</sub>,p<sub>HSC2→MPP</sub>,p<sub>MPP→CMP</sub>,p<sub>CMP→GMP</sub>,p<sub>CMP→MEP</sub>,p<sub>MPP→MLP</sub>,p<sub>MEP→EP+</sub>,p<sub>EP+→EP-</sub>,d<sub>MPP</sub>,d<sub>CMP</sub>,p<sub>GMP→M</sub>,d<sub>MEP</sub>,p<sub>MLP→M</sub>,d<sub>EP+</sub>,p<sub>EP-→M</sub>,r<sub>HSC1→HSC2</sub>,r<sub>HSC2→HSC1</sub>
80,WT,289.08632818106025,0.011402138305164696,4.320401146176151,0.0056724748415821445,6.646312703653893,7.303931207481363,1.112477003722874,3.6233140550322998,0.1496932663871865,4.743341319487239,2.261609551833187,0.13441636581828648,0.4248269568537101,0.05989837401172918,0.1485552314820089,0.08347574598579253,0.2126035252974552,0.7327002310826146,0.025171812781023463,0.00022248030417957036
81,WT,314.82310180590946,0.007737984885993582,6.756267237283048,0.014052525500797379,6.481508536327614,6.434774082436544,2.755358659839888,3.106000718093311,0.11712360696642143,3.6738773372695417,0.4615924807153535,1.8088474404007184,0.8412685977263719,0.245351404927584,3.66478212113838,0.034143513702148735,1.2248283620914273,0.13853264626882855,0.016382049215171758,0.0029831656784382763
82,WT,336.19606164843435,0.0004194908682721603,2.2093812958498553,0.017472620444784186,7.5130337229240975,7.023646855216239,3.9375834461392323,4.647858521838678,0.09999350051223603,3.80143924444522,2.7765115424976696,0.12642434784210632,1.5002566409567135,0.48580790582416133,0.30150073094666263,0.08783333405067399,0.8723350924590749,0.33792907165725683,0.017458011793907963,0.0018548362595375732
83,WT,320.67429635216456,0.0054453257482974865,2.9199012925481624,0.024101990179898055,6.307993712170948,5.97411677134765,3.9659837319119884,3.8598599404703147,0.10436174541931384,5.42528153369304,0.2963290977695455,0.17156078203950176,0.40850466394260354,0.7802994611873587,1.4193589211780722,0.050181804392633415,1.1147907221396534,0.12025198269896756,0.005084185530520333,0.002545753639766687
84,WT,350.68090951478877,0.002630896791832517,7.179788246330184,0.0015930559522300165,5.557602878883392,4.537230849554817,1.414651487569273,3.4654005835935804,0.1275664800044631,1.8984506754398414,1.1493332367549474,1.0048749899884089,1.1388556307350655,0.580429414648979,1.7796738191430919,0.0636689839285449,0.7735139299467666,1.753407657677844,0.027130308103876382,0.005645726837982319
85,WT,335.7809632213076,0.006137645572617703,2.5007057727038697,0.015708164965538066,6.952827319175832,6.168159894063711,0.9840262603117929,3.420591422277436,0.06938518562141224,7.858760339533376,2.3102875727305934,1.6410724365694085,0.8759138859619126,0.2449654399359793,0.7439925364959109,0.07218357924514991,0.3058184474088712,0.5010853939625008,0.012221871309215818,0.002781954223703597
86,WT,328.04677555500126,0.001712072080516781,1.1984709914740417,0.003488464642605594,6.535052739389513,5.982517571116329,0.46265007941461755,2.9464761829283814,0.12368601755578736,1.4704758172970993,1.445564410753954,0.04190509456991498,0.6607462701005777,0.039122927751985725,1.1540362268946172,0.08017953510917299,0.41702456760524376,1.7046036198768,0.03068267967176856,0.0040458753196086356
87,WT,264.20522545332454,0.005042109800976766,3.7079819071504745,0.0029053665285355937,6.272334234299564,6.556146376360427,0.36429440567429605,0.895838860544796,0.05435044360197615,3.644111800124184,0.38213933195699495,0.2379214997468579,0.5042072572896161,0.083764298150281,0.780652529788407,0.011545605714140171,0.3005001732400345,0.28559532998590687,0.026764030222289535,0.0037171129107365806
88,WT,272.07975751527806,0.0012807698053061709,1.1383865081243394,0.012191076393155146,7.513627512345015,7.635511301259129,0.9728495598211139,1.6109175252797476,0.11876383594306167,3.5300962046304676,1.4781326089808497,0.39898918969592306,0.18477618033637933,0.12708503468274274,0.2071392182215216,0.03614103290431912,0.49311809814787266,0.9148235702771456,0.026551786390710572,0.00024383971402525443
89,WT,297.1515209754427,0.007612386493888003,6.57307821034472,0.0038276445491437485,6.074418558114698,6.849070603921549,3.0370912925485505,4.089724803378877,0.1665340479297546,3.9470229761482596,0.5191124271965714,0.15062384846792043,0.1664377002307946,0.34402162066318404,0.4095921654008301,0.08007587866766316,1.5168557582405438,0.30009370073800096,0.02600075537162049,0.0034720653652881416
